iter 80000 || ARM_L Loss: 2.2328 ARM_C Loss: 4.4933 ODM_L Loss: 1.9139 ODM_C Loss: 12.0604 Total:20.7004 || lr:0.000100 || Saving state, iter: 80000
timer: 0.4429 sec.
iter 80100 || ARM_L Loss: 1.4459 ARM_C Loss: 2.7890 ODM_L Loss: 1.2001 ODM_C Loss: 2.3598 Total:7.7948 || lr:0.000100 || timer: 0.4089 sec.
iter 80200 || ARM_L Loss: 1.4087 ARM_C Loss: 2.1731 ODM_L Loss: 1.3446 ODM_C Loss: 1.6495 Total:6.5758 || lr:0.000100 || timer: 0.4338 sec.
iter 80300 || ARM_L Loss: 1.6113 ARM_C Loss: 2.1475 ODM_L Loss: 1.2165 ODM_C Loss: 1.6825 Total:6.6578 || lr:0.000100 || timer: 0.4284 sec.
iter 80400 || ARM_L Loss: 1.2623 ARM_C Loss: 2.2882 ODM_L Loss: 1.1184 ODM_C Loss: 1.8417 Total:6.5106 || lr:0.000100 || timer: 0.4701 sec.
iter 80500 || ARM_L Loss: 1.3135 ARM_C Loss: 1.9676 ODM_L Loss: 1.1968 ODM_C Loss: 1.8436 Total:6.3215 || lr:0.000100 || timer: 0.4617 sec.
iter 80600 || ARM_L Loss: 1.3865 ARM_C Loss: 2.0919 ODM_L Loss: 1.1636 ODM_C Loss: 1.5096 Total:6.1515 || lr:0.000100 || timer: 0.4521 sec.
iter 80700 || ARM_L Loss: 0.7618 ARM_C Loss: 1.6876 ODM_L Loss: 0.8074 ODM_C Loss: 1.5692 Total:4.8260 || lr:0.000100 || timer: 0.4520 sec.
iter 80800 || ARM_L Loss: 1.4030 ARM_C Loss: 2.2116 ODM_L Loss: 1.1084 ODM_C Loss: 1.6163 Total:6.3394 || lr:0.000100 || timer: 0.4456 sec.
iter 80900 || ARM_L Loss: 1.2012 ARM_C Loss: 2.1291 ODM_L Loss: 0.9290 ODM_C Loss: 1.8038 Total:6.0631 || lr:0.000100 || timer: 0.4660 sec.
iter 81000 || ARM_L Loss: 1.3191 ARM_C Loss: 2.2810 ODM_L Loss: 1.1636 ODM_C Loss: 1.6430 Total:6.4067 || lr:0.000100 || timer: 0.4621 sec.
iter 81100 || ARM_L Loss: 0.9812 ARM_C Loss: 1.7196 ODM_L Loss: 0.7959 ODM_C Loss: 1.7473 Total:5.2440 || lr:0.000100 || timer: 0.4457 sec.
iter 81200 || ARM_L Loss: 1.0451 ARM_C Loss: 1.9343 ODM_L Loss: 0.8901 ODM_C Loss: 1.4285 Total:5.2980 || lr:0.000100 || timer: 0.4439 sec.
